% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   85 -0.39785714E-02 -0.24055736E-18 -0.58264484E-13  0.69522681E-08 -0.10826812E-13 -0.66061963E-09  
   86 -0.40276190E-02 -0.31001406E-18 -0.58428731E-13  0.69521597E-08 -0.19503464E-13 -0.65374057E-09  
   87 -0.40766667E-02 -0.43706900E-18 -0.58588200E-13  0.69520834E-08 -0.35320956E-13 -0.64701453E-09  
   88 -0.41257143E-02 -0.41843428E-18 -0.58743339E-13  0.69519572E-08 -0.29390895E-13 -0.64048466E-09  
   89 -0.41747619E-02 -0.58784087E-18 -0.58894416E-13  0.69519412E-08 -0.50135916E-13 -0.63416503E-09  
   90 -0.42238095E-02 -0.60647559E-18 -0.59041593E-13  0.69520780E-08 -0.47949585E-13 -0.62805392E-09  
   91 -0.42728571E-02 -0.60986372E-18 -0.59184416E-13  0.69516677E-08 -0.43886004E-13 -0.62206436E-09  
   92 -0.43219048E-02 -0.74708306E-18 -0.59323204E-13  0.69515362E-08 -0.58802195E-13 -0.61622513E-09  
   93 -0.43709524E-02 -0.74877713E-18 -0.59458211E-13  0.69515860E-08 -0.53479807E-13 -0.61055338E-09  
   94 -0.44200000E-02 -0.67593229E-18 -0.59589545E-13  0.69512911E-08 -0.38369014E-13 -0.60504442E-09  
   95 -0.44690476E-02 -0.76741185E-18 -0.59717522E-13  0.69511508E-08 -0.47552956E-13 -0.59972278E-09  
   96 -0.45180952E-02 -0.79790504E-18 -0.59841514E-13  0.69510921E-08 -0.47394847E-13 -0.59448009E-09  
   97 -0.45671429E-02 -0.71489581E-18 -0.59962250E-13  0.69509909E-08 -0.31532648E-13 -0.58940660E-09  
   98 -0.46161905E-02 -0.83009229E-18 -0.60079669E-13  0.69509003E-08 -0.44734418E-13 -0.58447433E-09  
   99 -0.46652381E-02 -0.78604658E-18 -0.60193632E-13  0.69507298E-08 -0.34570442E-13 -0.57964730E-09  
  100 -0.47142857E-02 -0.10350743E-17 -0.60304766E-13  0.69505681E-08 -0.66066081E-13 -0.57499934E-09  
